name,group,weight_mean,weight_min,weight_max,head_body_mean,head_body_min,head_body_max,tail_mean,tail_min,tail_max,hind_foot_mean,hind_foot_min,hind_foot_max,ear_mean,ear_min,ear_max,length_skull_mean,length_skull_min,length_skull_max,source
crocidura_denti,shrew,10.5,8,12,63,63,63,46,46,46,13,13,13,8,8,8,20.6,20.6,20.6,kingdon
crocidura_fuscomurina,shrew,3.7,2,5,57.9,48,75,38.5,27.5,48,9.8,8,11,7.6,6.5,9,16.2,15.1,17.4,kingdon
crocidura_lamottei,shrew,20.5,18,23,87.5,85,90,45.3,35.5,55,15,14,16,11.5,11,12,25.3,24.7,26,kingdon
crocidura_muricauda,shrew,4.4,3,8,61,56,66,77,62,95,12.2,11.8,13,9,8.5,10,18.2,17.8,18.8,kingdon
crocidura_nimbae,shrew,12.5,8,19,81.7,75,90,53,50,70,16.5,16,17,NA,NA,NA,26,25.5,26.5,kingdon
crocidura_obscurior,shrew,3.3,2.5,4,47.5,45,50,32.5,30,35,10,10,10,7,6,8,15.8,15.6,15.9,kingdon
crocidura_oliveri,shrew,50.5,36,65,125,110,140,93,85,100,22,21,23,13,12,14,33,32,34.3,kingdon
crocidura_poensis,shrew,13,9,17,86.5,75,98,57,48,64,17,15,18,10,9,11,24.1,23.7,24.5,kingdon
crocidura_theresae,shrew,13.3,7,18.4,91.3,78,101,47.5,34,55,14.8,13,16,NA,NA,NA,22.8,21.3,24.4,kingdon
suncus_megalura,shrew,5.5,3,8,60.8,50,65,88.8,82,97.7,15.5,14,17,8.3,6,10,18,16.8,18.6,kingdon
