trap_number,PARENT_KEY,KEY
246,uuid:4a70051b-ea72-4c83-a6bf-6c531e7c389d/within_houses/house[1],uuid:4a70051b-ea72-4c83-a6bf-6c531e7c389d/within_houses/house[1]/traps_houses[1]
4,uuid:c2826228-a27f-48fa-81db-88b69a295773/within_houses/house[1],uuid:c2826228-a27f-48fa-81db-88b69a295773/within_houses/house[1]/traps_houses[1]
