rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus
2-SEI-4047,101,4,lophuromys_spp,rodent,60,130,80,20,15,NA,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,4,seilama,seilama_2_4_4_101,NA,NA,NA,NA,NA
2-SEI-4048,108,4,lophuromys_spp,rodent,60,125,67,20,15,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,4,seilama,seilama_2_4_4_108,NA,NA,NA,NA,NA
2-SEI-2049,187,4,mus_minutoides,rodent,10,70,62,15,10,20,male,not_noted,not_noted,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,2,seilama,seilama_2_4_2_187,NA,NA,NA,NA,NA
2-SEI-2050,195,4,mus_minutoides,rodent,10,74,55,14,11,20,female,NA,NA,open,visible,2,0,y,NA,2,yes,2021-04-16,2,seilama,seilama_2_4_2_195,NA,NA,NA,NA,NA
2-SEI-3051,223,4,mastomys_spp,rodent,21,94,89,20,14,25,male,inside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,3,seilama,seilama_2_4_3_223,NA,NA,NA,NA,NA
2-SEI-3052,270,4,mastomys_spp,rodent,60,125,125,25,18,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,3,seilama,seilama_2_4_3_270,NA,NA,NA,NA,NA
2-SEI-5053,284,4,hybomys_spp,rodent,46,120,90,25,15,35,female,NA,NA,open,visible,4,0,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_284,NA,NA,NA,NA,NA
2-SEI-5054,293,4,praomys_spp,rodent,45,120,147,25,20,29,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_293,NA,NA,NA,NA,NA
2-SEI-5055,296,4,crocidura_spp,shrew,20,104,64,15,7,30,female,NA,NA,not_open,barely_visible,0,0,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_296,NA,NA,NA,NA,NA
2-SEI-5056,305,4,hybomys_spp,rodent,28,97,89,28,15,32,male,outside,developed,NA,NA,NA,NA,y,NA,2,no,2021-04-16,5,seilama,seilama_2_4_5_305,NA,NA,NA,NA,NA
3-SEI-4020,151,3,crocidura_spp,NA,23,111,74,18,12,30,female,NA,NA,yes,yes,3,3,yes,NA,3,yes,2021-07-15,4,seilama,seilama_3_3_4_151,1626351032447.jpg,1626351043480.jpg,no,uuid:a899d076-7d8a-4edb-8e9a-0f6f5fcc0fc0,crocidura
3-SEI-2019,58,3,proamys_spp,NA,52,125,116,23,19,30,female,NA,NA,yes,yes,3,2,yes,NA,3,yes,2021-07-15,2,seilama,seilama_3_3_2_58,1626350709033.jpg,1626350720254.jpg,yes,uuid:871eb278-2d68-4bd2-901e-9b2197f43191,proamys
3-SEI-5018,225,3,proamys_spp,NA,37,112,148,25,18,31,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-15,5,seilama,seilama_3_3_5_225,1626350458350.jpg,1626350467096.jpg,no,uuid:24ed863a-356b-4e68-b6a3-aa35d72b2553,proamys
3-SEI-4017,158,3,crocidura_spp,NA,22,117,70,19,9,30,female,NA,NA,yes,yes,6,3,yes,NA,3,yes,2021-07-15,4,seilama,seilama_3_3_4_158,1626350183524.jpg,1626350201985.jpg,no,uuid:c38993f1-fcc1-4c5b-9e82-2b9742043354,crocidura
3-SEI-1016,37,3,proamys_spp,NA,54,122,147,24,18,33,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-15,1,seilama,seilama_3_3_1_37,1626349855400.jpg,1626349870158.jpg,no,uuid:3b0306dd-f5d3-4cac-8a32-256b3711bdf6,proamys
3-SEI-6015,271,2,lophuromys_spp,NA,55,128,37,20,16,27,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-14,6,seilama,seilama_3_2_6_271,1626269925175.jpg,1626269935629.jpg,yes,uuid:954f4d68-7cb1-4f33-b25c-732b3fce18f7,lophuromys
3-SEI-4014,218,2,lemniscomys_spp,NA,51,128,100,27,19,30,female,NA,NA,yes,yes,2,0,yes,NA,3,yes,2021-07-14,4,seilama,seilama_3_2_4_218,1626269479908.jpg,1626269491451.jpg,no,uuid:d202daaf-41cc-4d40-9596-66e7a11a8827,lemniscomys
3-SEI-5013,192,2,mastomys_spp,NA,60,130,108,24,20,34,female,NA,NA,yes,yes,9,0,yes,NA,3,yes,2021-07-14,5,seilama,seilama_3_2_5_192,1626268867597.jpg,1626268881746.jpg,no,uuid:cf31a951-d87d-4c68-9cbd-0f17c99d8f5f,mastomys
3-SEI-4012,167,2,crocidura_spp,NA,17,97,58,15,10,25,male,internal,no,NA,NA,NA,NA,yes,NA,3,yes,2021-07-14,4,seilama,seilama_3_2_4_167,1626268335321.jpg,1626268350894.jpg,no,uuid:16be8c1e-f551-42d0-a3e9-4c04e42bc319,crocidura
3-SEI-3011,130,2,mus_spp,NA,7,66,55,11,10,18,female,NA,NA,yes,yes,3,5,yes,NA,3,no,2021-07-14,3,seilama,seilama_3_2_3_130,1626267847771.jpg,1626267859835.jpg,no,uuid:8f0ec6f4-ee6a-457a-b1ff-faaf7533e29d,mus
3-SEI-2010,73,2,proamys_spp,NA,40,118,148,225,18,31,female,NA,NA,yes,yes,3,3,yes,NA,3,yes,2021-07-14,2,seilama,seilama_3_2_2_73,1626267307121.jpg,1626267317950.jpg,yes,uuid:5109fe10-e9eb-49e5-b605-f1015e4a952e,proamys
3-SEI-1009,2,2,crocidura_spp,NA,14,90,68,16,8,28,male,internal,no,NA,NA,NA,NA,yes,NA,3,no,2021-07-14,1,seilama,seilama_3_2_1_2,1626266554919.jpg,1626266574348.jpg,yes,uuid:36f9feae-ad3d-432a-a910-f430a7ad0974,crocidura
3-SEI-6008,274,2,crocidura_spp,NA,12,85,67,15,15,25,male,internal,no,NA,NA,NA,NA,yes,NA,3,yes,2021-07-14,6,seilama,seilama_3_2_6_274,1626266109937.jpg,1626266132699.jpg,yes,uuid:ead89b8d-a175-482b-a5fb-aef354cf9078,crocidura
3-SEI-3007,181,1,mastomys_natalensis,NA,8,142,122,24,18,30,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-13,3,seilama,seilama_3_1_3_181,1626187623694.jpg,1626187634679.jpg,yes,uuid:01d3fe26-ebfd-42da-b94e-eadc27a9bf62,mastomys
3-SEI-2006,93,1,mus_minutoides,NA,14,78,52,13,10,20,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-13,2,seilama,seilama_3_1_2_93,1626187034566.jpg,1626187050180.jpg,yes,uuid:f7176232-867b-41f1-989e-0b4ebb2fc4ee,mus
3-SEI-2005,62,1,proamys_spp,NA,50,129,148,24,19,30,female,NA,NA,yes,yes,3,3,yes,NA,3,yes,2021-07-13,2,seilama,seilama_3_1_2_62,1626186542135.jpg,1626186556126.jpg,yes,uuid:17d5d6b6-4012-44c7-9dba-17c27de7a023,proamys
3-SEI-2004,51,1,proamys_spp,NA,33,110,135,25,17,27,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-13,2,seilama,seilama_3_1_2_51,1626186057137.jpg,1626186069218.jpg,yes,uuid:ae7dbb90-194c-4bfd-92d8-4e3ffe9112ef,proamys
3-SEI-1003,42,1,crocidura_spp,NA,36,126,70,19,12,32,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-13,1,seilama,seilama_3_1_1_42,1626185529101.jpg,1626185542892.jpg,yes,uuid:b34adfc0-807e-45d0-8c37-e1b697879931,crocidura
3-SEI-1002,16,1,crocidura_spp,NA,31,130,78,18,11,30,female,NA,NA,yes,yes,3,3,yes,NA,3,yes,2021-07-13,1,seilama,seilama_3_1_1_16,1626184996305.jpg,1626185008022.jpg,yes,uuid:93facced-8158-4733-a537-7dd5bc57eeb8,crocidura
3-SEI-2001,53,1,rattus_rattus,NA,22,99,155,25,15,28,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-13,2,seilama,seilama_3_1_2_53,1626184502659.jpg,1626184522885.jpg,yes,uuid:1d07ae4e-8046-4329-b2c5-53830c27788f,rattus
3-LAL-5013,208,4,mus_minutoides,NA,18,79,55,12,15,22,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-12,5,lalehun,lalehun_3_4_5_208,1626087226360.jpg,1626087237299.jpg,no,uuid:5fa9289c-1e60-444c-a231-c81cd1b6ce8e,mus
3-LAL-3012,154,4,crocidura_spp,NA,35,126,75,20,10,34,male,internal,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-12,3,lalehun,lalehun_3_4_3_154,1626086614497.jpg,1626086630249.jpg,no,uuid:930d66cc-aa1c-40ee-8cdc-b252b6fc5e05,crocidura
3-LAL-4011,250,4,crocidura_spp,NA,27,115,73,16,13,35,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-12,4,lalehun,lalehun_3_4_4_250,1626086109830.jpg,1626086121790.jpg,no,uuid:00437874-95c4-43f7-b1ee-982f423b5db9,crocidura
3-LAL-6010,127,4,crocidura_spp,NA,23,110,80,19,8,30,male,internal,yes,NA,NA,NA,NA,yes,NA,3,no,2021-07-12,6,lalehun,lalehun_3_4_6_127,1626085536821.jpg,1626085549378.jpg,no,uuid:84a7dda4-516e-47c5-929a-5073aadd1071,crocidura
3-LAL-6009,146,4,rattus_rattus,NA,23,95,109,24,18,25,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-12,6,lalehun,lalehun_3_4_6_146,1626085087396.jpg,1626085098265.jpg,no,uuid:1e281805-d706-4e20-be94-7ae3d29aeb31,rattus
3-LAL-6008,136,4,rattus_rattus,NA,49,128,164,28,20,34,female,NA,NA,yes,yes,3,0,yes,NA,3,yes,2021-07-12,6,lalehun,lalehun_3_4_6_136,1626084589115.jpg,1626084604402.jpg,no,uuid:1341a5a8-aacd-4359-9fd8-f66520cefd02,rattus
3-LAL-2007,97,3,mastomys_natalensis,NA,52,121,114,24,18,32,female,NA,NA,yes,yes,9,0,yes,NA,3,yes,2021-07-11,2,lalehun,lalehun_3_3_2_97,1625997760859.jpg,1625997779872.jpg,no,uuid:240624e8-2a81-4042-9611-006d27d44447,mastomys
3-LAL-2006,44,2,crocidura_spp,NA,33,130,83,19,10,40,female,NA,NA,yes,yes,3,NA,yes,NA,3,no,2021-07-10,2,lalehun,lalehun_3_2_2_44,1625915645312.jpg,1625915661826.jpg,no,uuid:411b5fae-58b0-4f36-a2c0-256c4fb3e675,crocidura
3-LAL-1005,2,2,mastomys_natalensis,NA,47,131,122,22,16,33,female,NA,NA,yes,yes,8,NA,yes,NA,3,yes,2021-07-10,1,lalehun,lalehun_3_2_1_2,1625914759222.jpg,1625914781157.jpg,no,uuid:fae7b16a-0a67-45d4-af8f-1b0a6e2d5832,mastomys
3-LAL-3004,170,1,crocidura_spp,NA,21,104,69,15,7,30,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-09,3,lalehun,lalehun_3_1_3_170,1625834667665.jpg,1625834676666.jpg,yes,uuid:74bee2c9-5817-49a2-aaaa-4d4bf2caa182,crocidura
3-LAL-2003,55,1,proamys_spp,NA,80,85,20,17,15,25,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-09,2,lalehun,lalehun_3_1_2_55,1625834153165.jpg,1625834165906.jpg,yes,uuid:53527e85-a218-4068-b5ed-160cd0f9cb1d,proamys
3-LAL-1002,48,1,crocidura_spp,NA,25,120,75,20,11,34,male,external,yes,NA,NA,NA,NA,yes,NA,3,yes,2021-07-09,1,lalehun,lalehun_3_1_1_48,1625833517302.jpg,1625833530251.jpg,yes,uuid:23fc8b1a-bd1d-429c-8c23-bcd13baeba8b,crocidura
3-LAL-1001,14,1,crocidura_spp,NA,29,122,75,20,12,29,female,NA,NA,yes,yes,2,0,yes,NA,3,yes,2021-07-09,1,lalehun,lalehun_3_1_1_14,1625833069954.jpg,1625833080574.jpg,yes,uuid:e7cb2ab7-2203-4acf-aadd-4da01fa2b58d,crocidura
1-BAI-1002,22,2,proamys_spp,NA,46,102,132,26,19,35,female,NA,NA,yes,yes,4,3,no,NA,1,yes,2021-07-06,1,baiama,baiama_1_2_1_22,NA,NA,no,uuid:0acb5329-fbe5-4ea2-a2b6-b51e0df51955,proamys
1-BAI-4001,194,1,crocidura_spp,NA,21,84,60,15,8,23,male,internal,no,NA,NA,NA,NA,no,NA,1,no,2021-07-06,4,baiama,baiama_1_1_4_194,NA,NA,no,uuid:bef48975-6782-4abc-9b67-7e16fd4b9dc6,crocidura
1-LAM-1006,44,4,crocidura_spp,NA,33,120,68,19,9,34,female,NA,NA,yes,yes,3,0,yes,NA,1,no,2021-07-02,1,lambayama,lambayama_1_4_1_44,1625227009797.jpg,1625227020579.jpg,no,uuid:d6b9caf1-643d-4668-be7e-eda0f6f9d7b1,crocidura
1-LAM-3005,151,4,crocidura_spp,NA,34,99,70,18,10,30,female,NA,NA,yes,yes,3,3,yes,NA,1,no,2021-07-02,3,lambayama,lambayama_1_4_3_151,1625226494540.jpg,1625226510341.jpg,no,uuid:952bff1c-6cc0-409d-8113-4c59df93531b,crocidura
1-LAM-1004,48,4,crocidura_spp,NA,33,127,176,18,11,40,female,NA,NA,yes,yes,3,0,yes,NA,1,no,2021-07-02,1,lambayama,lambayama_1_4_1_48,1625226008566.jpg,1625226025186.jpg,no,uuid:3c9697ea-0702-4f14-9f5d-3806fdcb142e,crocidura
1-LAM-4003,188,1,crocidura_spp,NA,45,140,85,18,12,35,male,internal,yes,NA,NA,NA,NA,no,NA,1,yes,2021-06-30,4,lambayama,lambayama_1_1_4_188,NA,NA,no,uuid:f5740d48-cc5b-4a73-bd86-9df763a8d2dc,crocidura
1-LAM-3002,110,1,crocidura_spp,NA,25,117,68,18,10,10,female,NA,NA,yes,yes,3,0,no,NA,1,yes,2021-06-30,3,lambayama,lambayama_1_1_3_110,NA,NA,no,uuid:b077a4c4-c9a5-4105-b81b-5340e1fa7abf,crocidura
1-LAM-1001,13,1,crocidura_spp,NA,138,99,78,19,10,39,male,external,yes,NA,NA,NA,NA,no,NA,1,no,2021-06-30,1,lambayama,lambayama_1_1_1_13,NA,NA,no,uuid:d7585bac-7038-41e5-a5b2-f6ab2a74da41,crocidura
1-BAM-2014,68,4,dasymys_spp,NA,64,129,116,25,19,32,male,external,yes,NA,NA,NA,NA,yes,NA,1,no,2021-06-27,2,bambawo,bambawo_1_4_2_68,1624807693955.jpg,1624807717724.jpg,no,uuid:9f248cd5-5886-42a3-81f2-78295c3df3c7,dasymys
1-BAM-2013,64,4,dasymys_spp,NA,55,19,124,22,17,35,female,NA,NA,yes,yes,6,0,yes,NA,1,yes,2021-06-27,2,bambawo,bambawo_1_4_2_64,1624807202518.jpg,1624807216216.jpg,no,uuid:5a04ebf7-a2dd-4279-b221-0693e6ce912a,dasymys
1-BAM-4012,132,4,lemniscomys_spp,NA,47,120,130,25,17,30,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-27,4,bambawo,bambawo_1_4_4_132,1624806809560.jpg,1624806821452.jpg,no,uuid:51aec77d-b0fb-48fc-ba9d-6579eb6f80fa,lemniscomys
1-BAM-1011,2,4,mus_minutoides,NA,11,76,44,14,11,22,female,NA,NA,yes,yes,6,0,yes,NA,1,no,2021-06-27,1,bambawo,bambawo_1_4_1_2,1624806358849.jpg,1624806374253.jpg,no,uuid:a601bd84-a2b3-4c88-b907-f64fcdd3857e,mus
1-BAM-3010,199,4,crocidura_spp,NA,20,117,76,19,11,33,male,internal,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-27,3,bambawo,bambawo_1_4_3_199,1624805908841.jpg,1624805932019.jpg,no,uuid:a3a2b97a-c23d-402b-b36c-8d10ad6a5024,crocidura
1-BAM-4009,203,4,lophuromys_sikapusi,NA,69,125,70,22,16,30,female,NA,NA,yes,yes,4,2,no,NA,1,no,2021-06-27,4,bambawo,bambawo_1_4_4_203,NA,NA,no,uuid:460457f1-3cb1-4d47-a27d-16ed8082c4be,lophuromys
1-BAM-3008,183,3,mus_minutoides,NA,7,53,48,13,8,24,male,external,yes,NA,NA,NA,NA,no,NA,1,no,2021-06-26,3,bambawo,bambawo_1_3_3_183,1624710319333.jpg,NA,no,uuid:adf45df5-4320-4297-8f6a-d9e27b128f9a,mus
1-BAM-4007,213,2,mus_minutoides,NA,7,63,57,14,9,15,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-25,4,bambawo,bambawo_1_2_4_213,1624629557196.jpg,1624629571235.jpg,yes,uuid:acb21511-aa66-48d5-b386-67ffacbf95f4,mus
1-BAM-2006,61,2,mastomys_natalensis,NA,55,125,116,22,19,30,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-25,2,bambawo,bambawo_1_2_2_61,1624629113602.jpg,1624629125440.jpg,yes,uuid:8bd0b0de-8515-45a2-b2d0-e9ef6de244fb,mastomys
1-BAM-3005,184,2,mus_minutoides,NA,6,58,45,10,9,15,female,NA,NA,NA,NA,NA,2,yes,NA,1,no,2021-06-25,3,bambawo,bambawo_1_2_3_184,1624628668702.jpg,1624628680515.jpg,yes,uuid:d5bdb712-b273-461c-9109-59bd81a687d8,mus
1-BAM-3004,186,2,shrew_spp,NA,11,89,55,14,8,25,female,NA,NA,yes,no,NA,0,yes,NA,1,yes,2021-06-25,3,bambawo,bambawo_1_2_3_186,1624628220228.jpg,1624628240005.jpg,yes,uuid:25c1781c-5ec1-4920-b6a4-dc0aa11c5949,shrew
1-BAM-3003,155,2,lophuromys_spp,NA,60,129,73,22,15,30,female,NA,NA,yes,yes,3,2,no,NA,1,yes,2021-06-25,3,bambawo,bambawo_1_2_3_155,NA,1624627578807.jpg,yes,uuid:9055a9cb-cde8-4c4b-a53e-18c74ad00b6e,lophuromys
1-BAM-1002,13,1,proamys_spp,NA,34,104,135,21,19,26,female,NA,NA,yes,yes,3,3,no,NA,1,yes,2021-06-24,1,bambawo,bambawo_1_1_1_13,NA,NA,no,uuid:458d1e7e-9e40-4df5-b3d4-236d665d5e91,proamys
1-BAM-1001,9,1,mus_minutoides,NA,11,70,57,17,10,20,female,NA,NA,yes,no,NA,0,no,NA,1,yes,2021-06-24,1,bambawo,bambawo_1_1_1_9,NA,NA,no,uuid:4b2556c4-528c-4e25-a5df-7a8eb22ac989,mus
