rodent_uid,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,form_entry,dorsal_image_id,ventral_image_id,cut_tail,key,genus,filter_label_number
2-SEI-400,114,1,crocidura_spp,shrew,22,110,74,18,8,35,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_114,NA,NA,NA,NA,NA,NA,NA
2-SEI-400,127,1,crocidura_spp,shrew,12,85,66,15,6,25,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_127,NA,NA,NA,NA,NA,NA,NA
2-SEI-400,128,1,crocidura_spp,shrew,15,74,60,15,6,NA,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_128,NA,NA,NA,NA,NA,NA,NA
2-SEI-201,156,1,praomys_spp,rodent,46,117,136,24,18,38,female,na,na,open,barely_visible,3,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_156,NA,NA,NA,NA,NA,NA,NA
2-SEI-201,174,1,praomys_spp,rodent,50,128,99,22,17,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_174,NA,NA,NA,NA,NA,NA,NA
2-SEI-201,180,1,praomys_spp,rodent,25,99,104,20,16,30,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_180,NA,NA,NA,NA,NA,NA,NA
2-SEI-201,182,1,lophuromys_spp,rodent,58,135,NA,25,18,40,female,na,na,open,visible,3,0,y,broken_tail,2,yes,2021-04-13,2,seilama,seilama_2_1_2_182,NA,NA,NA,NA,NA,NA,NA
2-SEI-201,186,1,crocidura_spp,shrew,22,100,65,14,8,30,female,na,na,open,visible,4,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_186,NA,NA,NA,NA,NA,NA,NA
2-SEI-301,201,1,mastomys_spp,rodent,52,130,120,25,18,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_201,NA,NA,NA,NA,NA,NA,NA
2-SEI-301,215,1,mastomys_spp,rodent,48,109,119,22,16,30,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_215,NA,NA,NA,NA,NA,NA,NA
