SubmissionDate,form_entry,village_name,visit,rodent_numbering,rodent_number,trap_details-study_site,trap_details-site_number_input,trap_details-trap_number_int,trap_details-trap_night,trap_details-notes,rodent_details-genus,rodent_details-genus_other,rodent_details-species,rodent_details-species_other,rodent_details-photo_dorsal,rodent_details-photo_ventral,rodent_details-weight,rodent_details-head_body,rodent_details-cut_tail,rodent_details-tail,rodent_details-hind_foot,rodent_details-ear,rodent_details-skull,rodent_details-sex,rodent_details-testes,rodent_details-seminal,rodent_details-vagina,rodent_details-teats_visible,rodent_details-number_teats,rodent_details-embryos,acquisition-blood_filter,acquisition-filter_label,acquisition-blood_serum,acquisition-liver_spleen,acquisition-ear_snip,acquisition-eye_sample,notes,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits
2021-07-16T18:11:48.728Z,2021-07-14T13:30:40.894Z,seilama,3,,14,4,,218,2,,lemniscomys,,,,1626269479908.jpg,1626269491451.jpg,51,128,no,100,27,19,30,female,,,yes,yes,2,0,yes,3Sel 14,yes,yes,yes,yes,,uuid:d202daaf-41cc-4d40-9596-66e7a11a8827,uuid:d202daaf-41cc-4d40-9596-66e7a11a8827,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:42.964Z,2021-07-14T13:19:29.780Z,seilama,3,,13,5,,192,2,,mastomys,,,,1626268867597.jpg,1626268881746.jpg,60,130,no,108,24,20,34,female,,,yes,yes,9,0,yes,3 Sel 13,yes,yes,yes,yes,Lactating,uuid:cf31a951-d87d-4c68-9cbd-0f17c99d8f5f,uuid:cf31a951-d87d-4c68-9cbd-0f17c99d8f5f,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:37.697Z,2021-07-14T13:10:09.501Z,seilama,3,,12,4,,167,2,,crocidura,,,,1626268335321.jpg,1626268350894.jpg,17,97,no,58,15,10,25,male,internal,no,,,,,yes,3 Sel 12,yes,yes,yes,yes,,uuid:16be8c1e-f551-42d0-a3e9-4c04e42bc319,uuid:16be8c1e-f551-42d0-a3e9-4c04e42bc319,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:28.184Z,2021-07-14T13:02:48.570Z,seilama,3,,11,3,,130,2,,mus,,,,1626267847771.jpg,1626267859835.jpg,7,66,no,55,11,10,18,female,,,yes,yes,3,5,yes,3 Sel 11,no,yes,yes,yes,Blood was unavailable heart was taken instead,uuid:8f0ec6f4-ee6a-457a-b1ff-faaf7533e29d,uuid:8f0ec6f4-ee6a-457a-b1ff-faaf7533e29d,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:22.698Z,2021-07-14T12:54:43.269Z,seilama,3,,10,2,,73,2,,proamys,,,,1626267307121.jpg,1626267317950.jpg,40,118,yes,148,225,18,31,female,,,yes,yes,3,3,yes, 3 Sel 10,yes,yes,yes,yes,,uuid:5109fe10-e9eb-49e5-b605-f1015e4a952e,uuid:5109fe10-e9eb-49e5-b605-f1015e4a952e,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:16.915Z,2021-07-14T12:39:16.015Z,seilama,3,,9,1,,2,2,,crocidura,,,,1626266554919.jpg,1626266574348.jpg,14,90,yes,68,16,8,28,male,internal,no,,,,,yes,3 Sel 9,no,yes,yes,yes,Not enough blood and the heart was extracted and placed in the blood tube,uuid:36f9feae-ad3d-432a-a910-f430a7ad0974,uuid:36f9feae-ad3d-432a-a910-f430a7ad0974,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:12.936Z,2021-07-14T12:32:57.118Z,seilama,3,,8,6,,274,2,,crocidura,,,,1626266109937.jpg,1626266132699.jpg,12,85,yes,67,15,15,25,male,internal,no,,,,,yes,3 Sel 8,yes,yes,yes,yes,,uuid:ead89b8d-a175-482b-a5fb-aef354cf9078,uuid:ead89b8d-a175-482b-a5fb-aef354cf9078,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:09.127Z,2021-07-13T14:45:45.967Z,seilama,3,,7,3,,181,1,,mastomys,,mastomys_natalensis,,1626187623694.jpg,1626187634679.jpg,8,142,yes,122,24,18,30,male,external,yes,,,,,yes,3 sel 7,yes,yes,yes,yes,,uuid:01d3fe26-ebfd-42da-b94e-eadc27a9bf62,uuid:01d3fe26-ebfd-42da-b94e-eadc27a9bf62,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:05.804Z,2021-07-13T14:34:27.221Z,seilama,3,,6,2,,93,1,,mus,,mus_minutoides,,1626187034566.jpg,1626187050180.jpg,14,78,yes,52,13,10,20,male,external,yes,,,,,yes,3 sel 6,yes,yes,yes,yes,,uuid:f7176232-867b-41f1-989e-0b4ebb2fc4ee,uuid:f7176232-867b-41f1-989e-0b4ebb2fc4ee,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
2021-07-16T18:11:02.104Z,2021-07-13T14:26:16.786Z,seilama,3,,5,2,,62,1,,proamys,,,,1626186542135.jpg,1626186556126.jpg,50,129,yes,148,24,19,30,female,,,yes,yes,3,3,yes,3 sel 5,yes,yes,yes,yes,,uuid:17d5d6b6-4012-44c7-9dba-17c27de7a023,uuid:17d5d6b6-4012-44c7-9dba-17c27de7a023,163,Field rodent data,3,3,,,collect:j6qCQ6wLW4nMIOhX
